Address,Average Total stCELO,Average Total stCELO in USD,Contract
0x60ac25da2ada3be14a2a8c04e45b072bed965966,800890.904719733,382702.20749603485,"Pair"
0x8a1639098644a229d08f441ea45a63ae050ee018,502062.073746326,290526.43844952824,"yes (but no data on dune)"
0x87647780180b8f55980c7d3ffefe08a9b29e9ae1,262800.1860778061,127843.6181207121,"Gnosis Safe"
0x08bafb4400a102dddc5e5d584abf0aa38e174c57,117191.63500539275,68223.41148889594,""
0xdc5762753043327d74e0a538199c1488fc1f44cf,68537.66725720096,39226.96115166243,"RebasedStakedCelo"
0x9176779f5617db41cc11aef0d46e2113b682b55c,50450.87871194349,30221.447253631697,""
0xf3cf9f6ede5091b640b8d2eb8c165e13f043cbeb,45969.74498565143,25309.170854547956,""
0x7c9b206accb51f8d809d904f439bfaaaeb904f2a,43889.58260309781,25555.588236621144,""
0x46c5cfc2079309f4e7d9476a01730a60e2f1a164,34753.33693247457,19998.477581091633,""
0x7a1f69add7bc3d739438762d506a2d4ec1d423cf,21024.87250299245,12190.779194752477,""
0xa72dfb06e984cdab5ef6047f2c8a79db4335fa64,20965.682035560425,12064.50255338391,""
0x9fcd7d9e934ac04e5c7eae5bd7dc938fcdba84cb,18760.793381985673,10287.099611178386,""
0x1258fdb35c1cdd340827e0417b4bbe2356ec756d,18704.275443202758,10803.622044792877,"yes (but no data on dune)"
0x0a336306692f753c7cb0152e8f8eb70e3ce2dafb,17576.171026770757,9107.29717259365,""
0x6e42ce2fd45ff9b97a55d96f5a998dd8de2b2bfb,17434.211424065223,9564.79175949593,""
0x415b43b85db2e5493b58847321d75efbc25116df,16704.18349060969,9612.263699928182,""
0x9fba5259a1a4654212849e87cfdf5b28d5bbcb5e,15294.197530238736,9508.35707780883,""
0x3e48a1fbf1ecee44630832d87147bedf6916126d,14438.198276835143,8308.324035521151,""
0x8df8ca37b0ccd6ef4dc0e9a010bfd02e517c2e75,11583.878673746833,7158.434736554095,""
0x56dc05030ade425ee58e310776ea46e785eb2203,10877.517656670765,8303.375079767624,""
0xa265a3e7595b927a2d14e6131de5e4c34a5e787f,10223.518729378915,5984.391213675172,""
0xeda08159add4a97a81fe2e8d5ca20e07626f2e4e,9662.315183919338,5325.56508403648,""
0x8b4ac53a5a684e668a685777b3563cda1c4588c2,8270.973522740358,3918.046412160273,""
0xe3023a2232541b00124f0411759c858a6ad5b2be,8178.97998682752,4646.667131499442,""
0x52c60e6da29f07469be3ebb8886344a3bcb8e36e,7990.762860332777,4670.097473804309,""
0xd28c7edf73e247dcbb324f3d467e27ecd302d9de,6399.495498268202,4520.727588475067,""
0x5464d19f5561e7888ea0cc043715f4356d52d4cf,6108.635525577784,3548.7003614032583,""
0xe971f568c6cfb436c88ea943e5dde716d89a3b21,5941.658370951673,3419.070863809616,""
0x49d65f50c6445cdbaa04c907973b81681473f948,5928.5038833884155,4535.74714433145,""
0x8da20a81aa510c420d5a81d62cbbd013e7c76d9e,5446.966783194832,3026.7884197471403,""
0xf62c9d7cdc66061bb9c330ceff6e7006de6b79e4,5408.594812210863,3304.482402900203,""
0x1a14f3e3be186610eedcf69f7e76509106142527,5284.989687053833,2988.8496132477817,""
0x60cea5db2eef39c58e5f5237c12afd7937356bb6,3982.2417614365586,2245.4805998673974,""
0x864f2c20f55d7b6e80e65332c372c855a67be451,3954.1894890105455,2643.4844136144975,""
0x429c5b6389d44f74e89543b6f54654fc9ac1ad32,3890.715244299559,2156.743099409008,""
0x9c5335a9ce4397427d64419b1878c3b42833003a,3874.050429034859,2020.1339270213712,""
0x0bbf91036b886eb9f7b902a5de615b765917aa24,3820.3381601109672,2219.583087793987,""
0x494be2a0d940d15e7b34beec301b3df63d050e76,3419.318385792349,1855.8385542958551,""
0x1feadedd0a4c1acae53b582c5200b580704f91dc,3360.7964070693865,1901.9550658079688,""
0xdabd0fabd68235ed23432faf2272a46a618b7dcd,3226.512786023239,1484.6456917209198,""
0x9e9ef3da9f553c47f88363806835bdd8d45627f0,3153.8499482960415,1843.226602232294,""
0xfedc380d4b6b1915f1d1491e6f43b74f00c837c0,3088.137863191381,1582.562570060371,""
0x9dbd4cec1c3f22a351a2e25aa57dae1cf3db3919,2959.1706491612613,1611.6060196730425,""
0x039a4fc593206d8c8b4c6ffbfd358bf3430395d5,2953.464813941203,2155.69783811697,""
0x623e213f0eb9f65ade7f579fbefcd9df8743d8cb,2840.4700139127153,1578.8921394761019,""
0x36a683c003b0a49505ebd90f86bcb17606426108,2499.2516729508716,1911.8691023447739,""
0xa97b4708c68eaf9bd72618c4545cd615a4c9c2ac,2398.6636591326596,1437.450062282375,""
0x965e7c960800af447dae4443fdb75fd6c398322e,2357.37025383152,1216.8968344051978,""
0x4258658523ed894f1519230deecfc01cb593fc91,2333.384484573222,1365.4778977843687,""
0xbb4946437eccded9a99e41a71272cedf84fad828,2235.6353930617834,1286.4751484011688,""
0x962ffbe424a51da77737a7e5836088297d6b272c,2141.278549820286,1162.533100387101,""
0xa81185ad7d168388ad70588a26ffc3c8078cce43,2115.023606615947,1228.0830882754708,""
0x7a6f024e8d4a015afd417ddcacedcb98c3976224,2107.344756260189,1216.6328329635767,""
0xa3d85f0009b00b502e7c1ef39197d0bbbe3c33b3,1960.5489211511651,1145.8173298308234,""
0x61321f38df37a898f10cb502183e7bbf4372f8a5,1938.7879554447034,1076.1997201979843,""
0x8aa0e202ffb340a3f6f486427b7ae54e2da6b2f1,1922.8173262876846,1123.0140386930475,""
0xcd4846e7b1a2b17b9a9aeb89b16776806a6615c7,1851.2417302633648,1033.0391800237503,""
0x8744037f4c33fe344dfd2ce327e1caa23e4ce9cb,1793.7892790617727,1048.3568248870254,""
0x3a84aa862b9a4d3286d5b1dc173af8971a132160,1774.4986318860308,964.4818845977702,""
0x633a81cc3da1c3d627256c289026549828c4b174,1672.9017986825886,985.5298702290945,""
0xd8cc14daf1efc22dd73378d9fd0e94da5d7ce698,1663.9293213840706,1008.0645362779117,""
0xea614b27b7d6dea819f27e49dfd4639d4ab96a01,1628.8037504891208,891.1434081680599,""
0xbd5fff8b575c6071bdabe1dd0e40b74b3e002a8d,1591.9830829448065,916.3131458036951,""
0xe687660e45142b2baaf018097350153bbafef60d,1577.7341689214293,706.658202898639,""
0x2403a37e26aad0ce33fc21f263345d1d1cdf37d3,1537.865971151423,884.9503633723606,""
0x34b18fad06129f645e10432945e2e005ebc0c79c,1482.1893073377203,816.9362593580938,""
0xfc13e46954de5bc8e1b23cceac4363c519c2fe36,1462.4913163098809,796.8405061788955,""
0xb5c46cf3db8da39fec83706d8b6cc8b5dafa696c,1379.188266340688,793.6407855772188,""
0xacef3c5a772908a8a01471bf5ff0e6b6e8949bfc,1372.055865176716,809.2850949602222,""
0x24bfbb1b10e6d0feca1ca127646362e943a1836d,1348.3891491925438,760.8477119318313,""
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,1343.0630777311544,831.1883167139953,""
0xb3395e17d758eae046c10c897edc590bfc5bd0ef,1253.6363573885753,732.6714718031067,""
0xeceb6b47276915ac7130ed51fc3ecf8c7f46f850,1251.5364498288477,734.9428230183712,""
0x098e55139f1ba999fdc14e61ef37fb11a8add42e,1195.1329419089673,687.7278976585673,""
0x27eaabaf44f17b4bce9f9455619c3014095ea639,1167.7766191624446,636.2647777391079,""
0x874ef95b06d1393b89aff77ee59a3e3086d8527b,1107.4839943821266,627.5944948007258,""
0x18f30730822d08cb53b90f73253d536408f939ab,1096.0577145487946,645.8322755410296,""
0xd9899bfaaab84d21e1439ebc1e9ef83111b6c881,1083.3603244178257,594.3975103527873,""
0xd25e02047e76b688445ab154785f2642c6fe3f73,1071.6318958665254,607.7028195411303,"yes (but no data on dune)"
0xd283b37247d7f34ad7c926d9ff4342dbf9bd7904,1056.9692015678047,631.4849224653339,""
0xcff1a0feecc2d092b627fc4f5789fa07e011f45f,1053.0203752038103,805.6390370488675,""
0xc3ccd51096989547e717587aadc7572a1af963f6,1031.207948546411,603.6230724573672,""
0x8367ab75ea0640d71999ace82b95e1b8493a904f,1026.3513097913558,785.2352151629666,""
0xe81445a13979eed9e7f1c588a42386e626c746fc,1000.4266816397019,451.19393405952803,""
0xe2f34d47cf1549fd22d8cba050c8cd9ee47b58a1,1000.2336329262718,676.2443322836925,""
0x6e02f4ad421ebea80e3c65fc0fe272ac2da82c4f,988.4833678596698,568.8133634428524,""
0x0ee4e42b1096530f80a589cb13461930704517d0,986.3993159972798,567.6141155971329,""
0x2205eacb52c2ddc1518881e06f4e8310056881ef,966.35879388871,525.2388105460496,""
0x9d34535be508876aa1af456fab0dfe6cdf4dd7ee,961.5801631090806,734.7472489523009,""
0xbcaf4f3f3dd450c43fb675da19b006f4d18010f7,948.4951411381375,536.7760852121975,"Gnosis Safe"
0x89d6b771e2b63000870e2212836fefc8e74c6755,939.524677743785,536.2522658866558,""
0xd143ed1ae715fb149cb2356ca18138e29d308e72,878.273536113013,620.4308696544908,""
0x6c2d17e78b3c68dbf218f687a1cca61d395637de,869.5434593348251,496.2659702262405,""
0xce6fc27ff3f6c0ecc2e926c9f08a3568097664cc,830.6022051675332,486.19743067324305,""
0x1faf59040e9087675a7198e3c79d34de2f5796b1,796.0930399722098,466.40344690983864,""
0x14255981cd91a61a4799099ec6050d18ff476c46,763.8073981250234,408.8425313023258,""
0x157c41a2a1b4e5810be2b009c093f3d78945c1db,747.3154545556876,431.41096785516834,""
0x702c4bb26c59c2b9aaf5b73ad4ffe5089943bbef,746.6465060034183,429.6506387378599,""
0x2f722294bf0be485e5ddcd19a80a69a045969770,741.0929767614175,432.98093170557365,""
0x771bf3fc3503547e8a2da74513717ce4821c760a,740.5731314892301,424.0429708246705,""
0xd3846126de0e98f17fb0a2b0d5fda13861c29999,736.041514592821,427.6047049855273,""
0x9408716d163b3cac448c4b263cdebb91fa7df1bc,734.3987527161257,426.42677152163066,""
0xb8db9f3dead25eefd5081728d7fd49ee7454b59f,715.0968133768037,415.219149441484,""
0x40be056571c942e9d567e9743cca19a676618c3b,697.1608827802308,401.1746069674976,""
0x62b489ec2a90810a70076dcb1dc2f552f3f77b78,675.6953519851562,395.32522655857304,""
0x628b1132b0ccfe847f5b537beb8b35844354b3e7,664.5206764551099,508.4078242785549,""
0xa068404c922fad78d8bf91c845a9b431fd0c706b,653.5883276064666,358.3951127581254,""
0x573c3e35fc7523df87e3b285097f5270dcd79388,644.4750833032331,376.2882713063227,""
0x751f556a157f8cb70d5f37086664b437f339d914,628.0479738144504,361.4042400757743,""
0x3cebf7d0701cc8b431ac40bbfcd0ef83a8b48220,612.220392613238,346.47016245088804,""
0x6d4a93e2da64f08918f2bf334bce6643cfea85c1,601.529982237379,348.00523296114545,""
0xf7fd51d60c027f66b27a0f6c571c8526f58fcad1,601.1835245099392,333.3056790621899,""
0xe8cfc9b74421caed46ebc4bda27f47862e355e80,596.8793083465607,342.2690076129326,""
0xe462482bb3dde254cfc5c91c7f3a13da9a63c62a,591.1273106522863,302.93205725342386,""
0xd495ab5a0cc6921294656f72f2ec7919a8061e8c,590.8280902913885,348.0650995839211,""
0x2ca04bcebb0470858d1a36af535fb2b42fff251c,586.3646552333538,328.0389877705346,""
0x686dc2f89b5428c031d412ba7c45b8c76e874784,552.0922436239907,323.17013929726886,""
0x31d69cc43a809417c1f44d41751ef8674d1a3baf,548.6776077716369,315.7313169549146,""
0x86773e19832d3ea3e9a4632b49f50ae8de9bebb6,546.256548486172,266.3667106859242,""
0x880817a459f83f468eb8c32d623b8829b18f4ca8,543.6200041281769,328.1127050330564,""
0xa24dbaef7b10866d9f195ca829395676f8da6c10,535.1680551882041,310.74397274150596,""
0x72b16dcaf9087033add79d0dce135886b14a3e6b,530.057962389058,332.13650728779334,""
0xda5ac7ea38e059cca1d4bdc41f09d7e91ffd3007,522.8656203570715,303.6005951860665,""
0x9ba29ff77959d5c3ac0e6784c47865d82b536fc8,515.9923166905232,290.95439358539375,""
0xe8c2e133905bc26ec03b1b8888fd0c421071b25c,515.4591361319691,299.300038921836,""
0x84f6d83a6db3427d23b2ab54a82a7816670ce3da,504.52266098995005,221.3097782049423,""
0xd13f92c6620352870e32ffaaa4cc4dfaceb42a63,503.0571068680718,214.66352252852985,""
0x7a0b072da2b94d66f83d9e75d1f26aaa17672dac,502.1953186167232,344.03465352013853,""
0xd7194e7f4744566ae55d050b708612ffc09aa1a0,498.3973889420159,285.52934060236714,""
0x31b0418e6bc694ad3f541190e98a404b4c2a9324,497.68022372594675,283.96783232099557,""
0x558cb424c4d85e9bcb25b7d4744f5de4e9727818,482.9760454690477,270.19870938508416,""
0x073911559c5731dc9fa18fc58cecc6b3b1c0a2fb,481.50673884240945,271.5088901046554,""
0xe1ade6bd29ee1c4fda02423c504336920096be57,479.8381576722552,293.9461410551959,""
0xe43f1e7989357cba80151df00401d21a8754da9e,469.7309732295771,267.38736772646763,""
0x078e813081e91145cf35408f299fd9833c4a6457,461.3676628165018,228.05505073905505,""
0x41f6adf5c955974c84f2b5bd3a2f6ef460fa7e1f,461.07545068088325,251.21762530135243,""
0x35c9c84f1f84401e7408ed366b6b013f9fbd3404,454.14480789363364,265.41902909093153,""
0xac5a3bc86b172430e1fb26d77c99c2274bfe2960,452.9692743646717,204.80272231555426,""
0xd607581d480dd20294e27b01a4c545c82a724e68,446.3978878903247,229.0014707486847,""
0x406d7cf4781f7710e326a9ae1640c684cda05341,446.35475931264045,206.27124679259464,""
0x6582eacf97e09087fc75631d25b0020f97963584,440.53195509996857,254.94242596607398,""
0xcf8d347fd8e8874ac9c3289d48b4fe012f555fe1,430.7210618850902,243.374421964459,""
0x6c2ca70c41786a7bbe46bcebb31420cdb1fb61de,429.46641565192266,250.99606356436271,""
0x5e73e3e5de5349433f07857207829006f7141ed8,428.76418951628733,251.68779497748199,""
0x0493c30004aa8de603ecfc2f3601e5bda678125b,411.9699849999672,241.0343424278396,""
0x7fedbab68950cc958d8b24278aa0c9c68393d809,402.62740125914956,231.68811309426567,""
0xe5fa6ba6c5ce137106bbd4a77e47579982c742a4,395.0015561495604,215.64131150473503,""
0x2d1e7b6e6284409e16991de76d2a82847a7d61c5,385.17328500760266,221.64430771141747,""
0xa3b5d9abc7907334d4a8ac3352481281c09ad2c7,383.7199795489752,222.99474053520166,""
0xb0997e52536d2144e623850f0d9d8d8de7e50526,381.25160534525656,215.04926426918175,""
0xb20a5840d6231e488e61553dab217b94a3822a27,380.962322269658,218.4711202837787,""
0xf5f822b18a46f741e0cd901b992a676aa7222c77,370.9569651123464,217.3190852732531,""
0x08457813448cdcf5ce0afbe3f00257df524d32cf,369.45841452425987,216.26445338665297,""
0x0caa30b7a830283794817dee2e7e7cf3bcb060a3,369.280110391036,247.56075413984792,""
0xb1e458e669807776081c8bc887ebde431b5e8344,366.91959400223374,214.77834125370885,""
0x886314e249c06b65bc28c52d678a2d1e74c606f5,353.395516259102,166.5578577108188,"Pair"
0x2abe4363b3a1dce97b68dad882427091c957ec83,352.7504561140418,198.90663431562115,""
0xf60fd90fc72e1eb4d2054a24f5dcf7658f166eda,345.9756309702149,179.5152183111694,""
0x238d9eb315ab2ed2c6116f1340c261a5ea767bb5,326.9038753712671,145.76990320912694,""
0x7dd344e58c635903ca7629acbd463a7b4fc8bced,324.8909622315523,177.0173100588067,""
0x5b0f1ca39f3c610b4f5b3e4ecb0586a34ac3eec5,318.2215170463631,188.10906552246792,""
0x2b0e72406854d7f2fad5dccf5453e76b03bbc15a,311.74182444193127,238.50572046399833,""
0xca4ad39f872e89ef23eabd5716363fc22513e147,310.81571303597866,219.56674681858908,""
0x00275755e834b16fe7cc6083cec67e81425d0356,310.6300543610621,219.65394248938014,""
0x8d07d225a769b7af3a923481e1fdf49180e6a265,309.3518907433427,186.84552582804423,""
0xd828fada892933f44c3030b3c16a63496b5225b5,305.26586822785487,233.25487097637682,""
0xde2c389ad2c41170b58244b534249a3640202285,304.57759005069016,178.00641299645525,""
0x4606728ba59b46f637272a5286806e3a9de18b23,297.1579302666173,164.95560881387487,""
0x60c0e586727467602a6ac5b7c5bacb94600ccc75,293.3444254753219,224.14564888339535,""
0x31d06861591b990e980aabc970d7822292d55e5e,293.23101138817634,150.90316619648252,""
0x05655ef61e8272e495c3692ce077f968ede38a29,288.55736915251043,168.90859500605748,""
0x3319c5056371681bdd48eedcce6997a8d44179fc,286.7011045953581,164.97942697890514,""
0x8e1fcc4d6104c2cbb642828e1b34b2f568b709b4,283.05091719566104,162.87896131652982,""
0xfbc2d56bbbe15c30c8bd5cd7a4bc82123c48309f,280.81384380489646,139.4234781712587,""
0x55e17193366f019f67ee637e594b0b25a56ee48e,272.7577616172927,135.8488077945335,""
0x4bc92ef470d68964a79d52ae661eae28ca6564c6,267.63201447684366,143.68686877519886,""
0xc35c68d57f38a14543c882f37f8768e0eb30664c,264.21179303727325,112.74392790127916,""
0x2251419730622aaeb483b8d5715ceeb29a0d6385,262.7462681132244,130.39072576013686,""
0x4e36ee1b00e8c2d9dc9bb084eea467bd86f270c8,258.4030658437789,148.41284315754396,""
0xc81f7b9bbd22a92a1e8c6512ff18e7606c0d097d,252.89273630567922,145.52472262610823,""
0xbe1d7136dc7da1a6c01fb8a8732c0a8095380494,251.8993774605843,177.31416521166722,""
0x27f08c1f502c6a9ff9e21fdd9c2fa502148e55a2,250.64425546724058,146.48577673250765,""
0x26c69f26b1fd4b8b1f83c2f41fe33d8b84924c7a,248.1789759580479,142.73303369569734,""
0xe324061710fd79312b7559aa66a9c3e74cb2b50c,247.42081149952438,142.375955479692,""
0x9c7e597ec0f992da2fd10814f1d1deafa83c7439,237.50449108448836,181.67547736735543,""
0x06677920912dfa402f6400afb4c16b8347fe2a17,236.41130127881908,138.16751168548922,""
0x07720191b28e2b423b88fb2a54745cd44dcb6c0e,221.92085239275121,126.31413132959432,""
0xfe4e02baf74090796d8d5c311f2c0b57576c8365,220.5227455028045,168.50231192967493,""
0xe695cf91811dbc72733e3cc8c6dd679695e0d895,220.05254504694474,123.18561250577545,""
0x99e2626dafc34ae5dd249edf01d0b04407ef99a0,216.97371576598866,125.15114801231815,""
0x6bb804836470d36c10b436b7bb0b6863ac5869e0,215.26935517959447,123.87470537922339,""
0x0e440bd9798ad22cb8fd6f1a433f2f16e8786770,215.11198978355407,128.68257363239942,""
0xf07de3eb4cd58835b218a59fdfc84100d7d0e994,214.12798542535666,129.3312154490575,""
0xb5ef3f16b78a1c9cdb375bbdd57bda8e92f1ce39,213.41904449034556,123.92122642728313,""
0xee5abcbbac76dafb37ecdd9b28f942730b7b893c,207.95961382015673,158.90277275843704,""
0x0cdcab94fdc1cfc8a55a3566817e8803720a372a,206.07403343785367,120.62653453435927,""
0xf4330380719a7d7a34dc4220998ef7359f2ac235,202.23734128422333,114.32276912537431,""
0xfade4d4dd226240f9039022947ad95ded6ff4d4f,200.04615970296572,123.66220147396662,""
0x628b045b58c8a989fa6184b3e5bd11999fea3304,199.85124202367342,92.79026974401638,""
0x4d3f684b8e08d6f36619de58bd9523108459de3d,198.53600951439074,113.35317143930209,""
0x5450a98bd84b8e0708a2a3d55e6c048f15977cd1,198.43716916510263,114.18878384295127,""
0x55d94cc482147eb05644964a84783943a2dce9b9,198.03512872118839,107.89972593448097,""
0xf38560b3ef42a677f9155569d5214802c3415ff5,197.5488857726127,112.47489979093511,""
0x084e0e0260bc4c90de87acbba2b53f0812b8e7ee,195.1110767784396,107.25760603643295,""
0x34b1b23cfb1a6dbbd4b1f299aa2e75d01fe014aa,188.59468625598308,120.47739701510979,""
0x6baa5710dafe757d78d7727dbc94365fcd6c5838,188.52045571400336,120.42901179820392,""
0x0071013a72757fb9ad3bf70560ea6044b4795917,186.66554676172765,106.91532180750308,""
0x5988d7f4dcdfeb0d6fdc3ec2d7aef1545bbd834e,186.03243056803714,108.47097896408204,""
0xea3904eb82acb0fcbff40a7457eca3bc3c75e6ae,185.71634844833397,105.10132330291262,""
0xe95be2366862b39819c74be94996e6c6cf262139,184.65380168721674,105.56024743709541,""
0x9d422d3de7c25b114ae5751f4e44c90c2e0d7bf3,182.0984822258018,104.78684166125647,""
0x5bd1ef67aa8efccc7498892311a9f43417d56a8d,180.08899256154302,116.67660463986542,""
0xd31645e03a821c0c87409382fa4b753c6dce5388,177.56097631193254,104.90309443432012,""
0x2b91b4f5223a0a1f5c7e1d139dddd6b5b57c7a51,176.59568917650282,135.1088585988683,""
0x0d6e94d085a597f316be1833649e05a45103e873,171.53263297726568,104.6187820486322,""
0x9e66717f8ad44b9a465638bce39b344746c75010,169.1464309798042,97.33370681623401,""
0xb91f22ec5708c831803158e7c352635e0165ed6d,168.5645764500109,96.99888415468249,""
0x054fe24a3875df56ece8088b145d7b8d9c80f065,166.5471075665184,96.32692390682935,""
0xe0a46db77fe3932a901214bfa0a1389d3e996332,160.8430615401756,123.0568218119106,""
0xb1ecadcb6afcfed0c5da7e55a3c2830cd225d16c,160.5315662517883,77.36506945604789,""
0x6c082b7d49d76dc357339a3a03e96f5cfe62382d,159.26446921413725,91.64722579681775,""
0x40380492f27e27b71966d1a98a38bb001ad11083,158.6206813485743,92.10269597255086,""
