Address,Average Total cStables in USD,Average cUSD in USD,Average cEUR in USD,Average cREAL in USD,Average cUSD Balance,Average cEUR Balance,Average cREAL Balance
0xdadbd6cfb29b054adc9c4c2ef0f21f0bbdb44871,333561.2448600795,333561.2448600795,0,0,335310.6626552345,0,0
0x4da92da1afbf103f2b52dd29326e34c98ca1e78c,142526.51069665622,142526.51069665622,0,0,142894.8509221571,0,0
0x35ae10f412503abcf9275133613e8df7f56e72be,126855.49478714926,126855.49478714926,0,0,127416.20261269459,0,0
0x0e912990472bfe5948b5b7333ecf528d5da887cf,94956.02506452671,94956.02506452671,0,0,95256.88246123151,0,0
0x602b65795bcc64b2fb329ac004236e194f077158,93760.94041644245,93760.94041644245,0,0,94173.22103229635,0,0
0x69cd274c6acbc08f664ed7b2d54aab6615bc1d70,76438.88755795572,76331.97038920572,106.91716875,0,76567.27911275876,100,0
0xbf55df76204f00acf296f76cf4aaf86a866a5eb0,60498.02048679757,60498.02048679757,0,0,60708.562228393974,0,0
0x47b2db6af05a55d42ed0f3731735f9479abf0673,47807.76701152914,47807.76701152914,0,0,48196.38876486507,0,0
0xa432da0ed5a2c15cbc681227ccec3b375908fdcb,45872.67053131204,45872.67053131204,0,0,46046.15167492865,0,0
0xd19fb36b7f433fe13820767ef6d0e26fdbab68cc,40005.78586208202,40005.78586208202,0,0,40210.63551364996,0,0
0x7dbb949346aeda9233218831455d57eb8344af82,39364.15987412717,39364.15987412717,0,0,39669.503653985616,0,0
0xc24baeac0fd189637112b7e33d22fff2730af993,34401.323734880476,34401.323734880476,0,0,34595.31756804222,0,0
0x9eb1d96b5f0bdd3114ea1461182c688178ae6c4c,32538.027763007332,32538.027763007332,0,0,32804.970350033174,0,0
0x89d5bd54c43ddd10905a030de6ff02ebb6c51654,26676.693669991277,26676.693669991277,0,0,26864.33496765055,0,0
0x614b7654ba0cc6000abe526779911b70c1f7125a,18510.991911933073,18510.991911933073,0,0,18573.28065706828,0,0
0xc764293de02189e248a8040a3d1b04eec599aa31,17671.013262331344,17671.013262331344,0,0,17736.153720909813,0,0
0x5402172e972b31fc9f0383f53f45823ab5037379,16920.45338409798,16920.45338409798,0,0,16977.17151882088,0,0
0x0861a61bf679a30680510ecc238ee43b82c5e843,16752.681864550814,16752.681864550814,0,0,16789.819196025033,0,0
0x81383e7c8801b102f742f4f5a5fad06867212b05,15009.077247908212,15009.077247908212,0,0,15060.690583730484,0,0
0x7194dfe766a92308880a943fd70f31c8e7c50e66,14121.70129043445,14121.70129043445,0,0,14167.748274778322,0,0
0x8a12cab622b8093208931fa008d12d6ba5af47e4,13478.949197244105,13478.949197244105,0,0,13542.312279014692,0,0
0x6f8e6ff69935f000b09d182a4739342faeaf0c77,13303.80845660625,13303.80845660625,0,0,13378.869229610626,0,0
0xb35be22bccb0db9dc62967dcf15feb97c20f854e,10879.85316528751,10879.85316528751,0,0,10915.97598182435,0,0
0x34649ada2cb44d851a2103feaa8922deddabfc1c,9375.422971244649,9375.422971244649,0,0,9434.455726261625,0,0
0x15ed3f6b79f5fb9ef1d99d37314dd626b3005f0b,8395.569197515702,8395.569197515702,0,0,8431.541401910656,0,0
0x4a34787893c8e26411be77259fe7fa184d471d9a,6602.094915435911,6602.094915435911,0,0,6617.360983065582,0,0
0x98c62d86634bb0e3f818efc550e2f33369eae7f3,6553.225723926188,6553.225723926188,0,0,6593.994788949801,0,0
0x81cef0668e15639d0b101bdc3067699309d73bed,6542.594570316488,6542.594570316488,0,0,6579.6208294247035,0,0
0x7c75b0b81a54359e9dccda9cb663ca2e3de6b710,5487.922314561782,5487.922314561782,0,0,5515.116465404432,0,0
0x2fd49e97262d505fd76bb6e0e06ec10e1fd54589,5358.071489313288,5358.071489313288,0,0,5377.076891705172,0,0
0x5e941e767c56364602043573cd55365e89489070,4876.880460958731,4876.880460958731,0,0,4871.547803012561,0,0
0xf83c93ea360b66ddcd532960304948b1c10786a1,4842.695579366199,4842.695579366199,0,0,4886.281918524295,0,0
0x0d4f8cea48cdadeae345431577a64983c0535b12,4816.7088384276685,4816.7088384276685,0,0,4836.91047853468,0,0
0x3753096ad5e8e390c05324b9ca2b1856a3182b48,4602.691905326397,4602.691905326397,0,0,4614.349390534424,0,0
0xd72ed2e3db984bac3bb351fe652200de527effcf,4532.266433675323,4532.266433675323,0,0,4548.171758885737,0,0
0xb33e9e01e561a1da60f7cb42508500e571afb6eb,4457.199454049708,4457.199454049708,0,0,4466.373670219586,0,0
0x2c2b0f71d59b546b2cafd222696589c13c3c325c,4190.709480986413,4190.709480986413,0,0,4254.202434774388,0,0
0x249a6b2b260000b08f50a2480e2d703baf02e8be,4108.054215298193,4108.054215298193,0,0,4123.197689612718,0,0
0xe075ba4b1dcaf75513118d7aa08a057c658842c9,3790.6002183873434,3790.6002183873434,0,0,3810.053577928419,0,0
0x70fc0b021dfdbb9a106d1ed8f35f59d3f23ecb7b,3655.481707857988,3655.481707857988,0,0,3667.350855308753,0,0
0x8580db53c3ebc56230662b771cef2707e92ef83a,3241.3199465077837,3241.3199465077837,0,0,3247.845228463161,0,0
0x3dcf2ed8dc84a63ffd2bfdc3cdb2fa0b1aeafe5c,3148.7712536410713,3148.7712536410713,0,0,3179.0217823068865,0,0
0x067e453918f2c44d937b05a7ee9dbfb804c54add,3075.914529319016,3075.914529319016,0,0,3082.649914255486,0,0
0x1d083becfaac301b4b845d0e5b80a9da5f6de946,2879.0557209132076,2879.0557209132076,0,0,2886.3631398901957,0,0
0x2af540161cbeb58fdc99b159c76e390598860510,2273.857284243796,2273.857284243796,0,0,2280.2068168908636,0,0
0xee6c0fa803099837690d440b3108d03763ab7550,2192.032506436064,2192.032506436064,0,0,2190.5238690254955,0,0
0x061e9958028dcaa66fd8b255ad95194203b6c4da,1937.9744809845774,1937.9744809845774,0,0,1946.1408614917216,0,0
0x21fb4411fa5828344c2788ab07d4cc12a12571b9,1931.7491290002868,1931.7491290002868,0,0,1937.1122103267207,0,0
0xcc4b2bcbbc9639ef1e91f47acfd12bd131525e79,1846.0890128744727,1846.0890128744727,0,0,1852.6020194490402,0,0
0x0f66619058bb9675f3d394fcc2ce236a29901571,1824.0471483620704,1824.0471483620704,0,0,1828.9795576693668,0,0
0x81ae1c73a326325216e25ff1af9ea3871195036e,1654.0013712968573,1654.0013712968573,0,0,1657.0735267006567,0,0
0x95ae59515915d6c493a846ae022f93726652b50a,1641.4170104672983,1641.4170104672983,0,0,1647.992106387287,0,0
0x6cf4bb9ff947610944c6d8e0e5ea26b1dea73196,1439.7566874133904,1439.7566874133904,0,0,1447.191897146896,0,0
0x8851f4852ce427191dc8d9065d720619889e3260,1380.684820091951,1380.684820091951,0,0,1384.1767655688507,0,0
0xd25c6a9fef4744e8d4f90bf6bdfaf7686909d799,1160.2025441987635,1160.2025441987635,0,0,1165.1490387692015,0,0
0x3d451dd723797b3de938c5b22412032b6452591a,1157.4051750725957,1157.4051750725957,0,0,1167.41198654784,0,0
0xb87f2354e34b26ba6406ac60ea99dcd8cd5e63bf,900.8534730873832,900.8534730873832,0,0,905.4946430198962,0,0
0x7e11e85faa97652623929c9677e442e219ce0bbd,814.6720312310083,814.6720312310083,0,0,816.7377331890495,0,0
0xb434feb47d6154b4b4058df5c9fced123db9abf6,551.2734096133013,551.2734096133013,0,0,553.3180710275482,0,0
0x8493bd3de67ac341d4cc11531f96a1a2cdbf29ad,550.3563477576967,550.0357704309874,0.3205773267092099,0,550.1260914085688,0.2998370892693601,0
0x71dcc67baeecd9308e341359f70b782d9c3565b8,533.0145796433738,533.0145796433738,0,0,535.1353310909064,0,0
0xc64df5be250264bf2888591d87cdeb13bfadc501,380.9073256241758,380.9073256241758,0,0,382.72983905930454,0,0
0x8eb004dad9397b8f23e1279905c584920000756d,335.2219157604226,335.2219157604226,0,0,336.3836090844582,0,0
0x07fa1874ad4655ad0c763a7876503509be11e29e,280.3947987838201,276.0111948650701,4.3836039187499996,0,276.5347570031654,4.1000000000000005,0
0x580f29ab04b7ed4e5aa86584d38c9317d9cf0358,269.37786070657404,269.37786070657404,0,0,270.1223869710095,0,0
0xbb59448319755708d06dacaac017308129fffdbb,241.00593025062037,241.00593025062037,0,0,242.4220142043939,0,0
0x4d5a51039ea45063d4b665b21755db20a738dadc,221.9749089896782,221.9749089896782,0,0,222.7931726143978,0,0
0xc7d5409fee80b3ac37dbc111664dc511a5982469,186.00339709146417,186.00339709146417,0,0,186.7327409021246,0,0
0xe92b7ba8497486e94bb59c51f595b590c4a5f894,49.11652132491802,49.11652132491802,0,0,49.59844408429302,0,0