Address,Locked Celo Balance
0xb7eb6bbdfa555a1065374b4a1aa2bc446a05f442,17235055390423311721604940
0x1ee3434e360baaa9f0f693e15aafb2985513177a,16725345923849778309686291
0x7034589832c20dad66533f53319009bbcf34e45f,12794309310624532108376874
0x3fa7c646599f3174380bd9a7b6efcde90b5d129d,10003131019456471355723456
0xef283eca68de87e051d427b4be152a7403110647,9965818696098315461599560
0xb234e017ad9e29687474196a93d5c7df24415902,9286220673950471989271871
0x7cf091c954ed7e9304452d31fd59999505ddcb7a,8861657519157107784172053
0xef268b5c05452d63a17da12f562368e88a036ef1,8012632433930266228898636
0xfc89c17525f08f2bc9ba8cb77bcf05055b1f7059,7778455136065667776135971
0xa5d2944c32a8d7b284ff0b84c20fdcc46937cf64,7754693456446706397136014